DUNGEON,CICLO,MONSTRO,NOME,CHEFE,VIDA
"Andar do Pântano dos Slimes",1,1,"SLIME",Não,18
"Andar do Pântano dos Slimes",1,2,"SLIME",Não,21
"Andar do Pântano dos Slimes",1,3,"SLIME",Não,24
"Andar do Pântano dos Slimes",1,4,"SLIME",Não,27
"Andar do Pântano dos Slimes",1,5,"SLIME",Não,30
"Andar do Pântano dos Slimes",1,6,"SLIME",Não,34
"Andar do Pântano dos Slimes",1,7,"SLIME",Não,39
"Andar do Pântano dos Slimes",1,8,"SLIME",Não,44
"Andar do Pântano dos Slimes",1,9,"SLIME",Não,50
"Andar do Pântano dos Slimes",1,10,"SLIME",Não,85
"Andar do Pântano dos Slimes",1,11,"SLIME",Não,96
"Andar do Pântano dos Slimes",1,12,"SLIME VERDE GUERREIRO",Sim,1142
"Andar do Pântano dos Slimes",2,1,"SLIME",Não,128
"Andar do Pântano dos Slimes",2,2,"SLIME",Não,146
"Andar do Pântano dos Slimes",2,3,"SLIME",Não,166
"Andar do Pântano dos Slimes",2,4,"SLIME AZUL",Não,282
"Andar do Pântano dos Slimes",2,5,"SLIME",Não,212
"Andar do Pântano dos Slimes",2,6,"SLIME",Não,242
"Andar do Pântano dos Slimes",2,7,"SLIME AZUL",Não,410
"Andar do Pântano dos Slimes",2,8,"SLIME AZUL",Não,466
"Andar do Pântano dos Slimes",2,9,"SLIME AZUL",Não,528
"Andar do Pântano dos Slimes",2,10,"SLIME AZUL",Não,900
"Andar do Pântano dos Slimes",2,11,"SLIME AZUL",Não,1020
"Andar do Pântano dos Slimes",2,12,"SLIME VERDE GUERREIRO",Sim,8102
"Andar do Pântano dos Slimes",3,1,"SLIME",Não,454
"Andar do Pântano dos Slimes",3,2,"SLIME",Não,516
"Andar do Pântano dos Slimes",3,3,"SLIME AZUL",Não,876
"Andar do Pântano dos Slimes",3,4,"SLIME AZUL",Não,994
"Andar do Pântano dos Slimes",3,5,"SLIME",Não,752
"Andar do Pântano dos Slimes",3,6,"SLIME",Não,854
"Andar do Pântano dos Slimes",3,7,"SLIME VERMELHO",Não,3276
"Andar do Pântano dos Slimes",3,8,"SLIME VERMELHO",Não,3718
"Andar do Pântano dos Slimes",3,9,"SLIME VERMELHO",Não,4218
"Andar do Pântano dos Slimes",3,10,"SLIME VERMELHO",Não,7182
"Andar do Pântano dos Slimes",3,11,"SLIME VERMELHO",Não,8152
"Andar do Pântano dos Slimes",3,12,"SLIME AZUL BÁRBARO",Sim,64630
"Andar do Pântano dos Slimes",4,1,"SLIME",Não,1608
"Andar do Pântano dos Slimes",4,2,"SLIME",Não,1826
"Andar do Pântano dos Slimes",4,3,"SLIME AZUL",Não,3108
"Andar do Pântano dos Slimes",4,4,"SLIME AZUL",Não,3526
